"productId","manufacturer","title","handle","status","referencePrice","lowest","average","highest","samples","sampledShops","totalShops"
"cmlgwlwhr000fu99kzjgnc75c","Growmax Water","Ersatzmembrane für Mega und Power Grow 150 GDP","ersatzmembrane-f-r-mega-und-power-grow-150-gdp-growmax-water","ok","86.99","109.9","109.9","109.9","1","1","1"
"cmlgwlwlf000mu99kbetvrry7","GIB","Abdecksieb 11,5x22,5x2,4cm","abdecksieb-11-5x22-5x2-4cm-gib","no_prices_found","4.49","","","","","0","1"
"cmlgwlwor000tu99kavxt56vd","AutoPot","Wasserfilterhalter 9mm","wasserfilterhalter-9mm-autopot","ok","3.49","3.9","3.9","3.9","1","1","1"
"cmlgwlws20010u99k3ffww05r","GIB","Wasserfilter 2x Ø16mm","wasserfilter-2x-16mm-gib","no_prices_found","10.99","","","","","0","1"
"cmlgwlwvq0017u99knufv580b","Growmax Water","Eco Grow 240 Sediment und Aktivkohlefilteranlage","eco-grow-240-sediment-und-aktivkohlefilteranlage-growmax-water","ok","93.99","99.9","99.9","99.9","1","1","1"
"cmlgwlwz3001eu99k9m44sbqu","Growmax Water","Power Grow 500 Umkehr-Osmoseanlage 1:2","power-grow-500-umkehr-osmoseanlage-1-2-growmax-water","ok","195.99","259.9","259.9","259.9","1","1","1"
"cmlgwlx2f001lu99kdakzr6ol","Growmax Water","Mega Grow 1000 Umkehr-Osmoseanlage 1:2","mega-grow-1000-umkehr-osmoseanlage-1-2-growmax-water","ok","322.99","399.9","399.9","399.9","1","1","1"
"cmlgx6vme0001u9ckuen3sp38","AutoPot","1Pot XL Untersetzer mit Deckel","1pot-xl-untersetzer-mit-deckel-autopot","ok","14.99","18.9","18.9","18.9","1","1","1"
"cmlgx6vrs0008u9ckapf7bzsi","AutoPot","20 L FlexiPot mit Ventil und Untersetzter","20-l-flexipot-mit-ventil-und-untersetzter-autopot","ok","38.99","36.95","36.95","36.95","1","1","1"
"cmlgx6vv5000fu9ckj2b51f7q","AutoPot","easy2Go Kit","easy2go-kit-autopot","ok","18.99","24.9","24.9","24.9","1","1","1"
"cmlgx6vyc000mu9ckucfilaei","AutoPot","PotDivider für 15L Topf","potdivider-f-r-15l-topf-autopot","ok","10.99","12.9","12.9","12.9","1","1","1"
"cmlgx6w28000uu9ckxdaas00f","AutoPot","Schlauch 16mm laufender Meter","schlauch-16mm-laufender-meter-autopot","ok","3.99","5.9","5.9","5.9","1","1","1"
"cmlgx6w680011u9ckoanz1zrb","AutoPot","Tray2Grow","tray2grow-autopot","ok","60.99","89.9","89.9","89.9","1","1","1"
"cmlgx6w9w001cu9ck66inh5ze","AutoPot","Wurzelkontrollmatte 1Pot XL","wurzelkontrollmatte-1pot-xl-autopot","ok","1.99","1.99","1.99","1.99","1","1","1"
"cmlgx6we8001ju9ck0z1f8n2d","AutoPot","Topf 8,5Liter","topf-8-5liter-autopot","ok","4.99","8.9","8.9","8.9","1","1","1"
"cmlgx6whk001qu9cks8rz1ytz","AutoPot","Topf 15Liter","topf-15liter-autopot","ok","5.49","5.9","5.9","5.9","1","1","1"
"cmlgx6wkw001xu9ckrkw2uit2","AutoPot","Propagation Deckel V2 für 8.5L und15L Töpfe","propagation-deckel-v2-f-r-8-5l-und15l-t-pfe-autopot","ok","7.49","10.9","10.9","10.9","1","1","1"
